Id,eng,ara
55, Abacuses, العدّادات
56, Abada, أنثى الخرتيت
57, Abaddon, ملاك الجحيم
58, Abaft, في مؤخّرة السفينة
59, Abaisance, الإنحناء تعبيراً عن الإحترام
60, Abaist, منزعج :: منحرج
61, Abalone, أذن البحر - حيوان بحري
62, Abalones, آذان البحر - حيوانات بحرية
63, Abamp, وحدة تيار تساوي عشرة أمبير
64, Abampere, وحدة تيار تساوي عشرة أمبير
65, Aband, يهجر :: يترك
66, Abandon, يترك :: يتخلّى عن :: يتنازل عن
67, Abandoned, مهجور :: متروك :: متخلى عنه :: سائب
68, Abandonedly, بلا حدود
69, Abandoner, المتخلّي :: التّارك
70, Abandoning, التّرك، :: الهجر :: التنازل
71, Abandonment, التّرك :: التخلي عن :: التنازل عن
72, Abandons, يترك :: يهجر :: يتنازل عن
73, Abarim, سلسلة جبال في شرق الأردن
74, Abase, يحقّر :: يهين :: يذل
75, Abased, أهان :: حقّر
76, Abasement, التقليل من الشأن :: التحقير :: الإهانة
77, Abaser, موجّه الإهانات :: المهين
78, Abases, يهين :: يحقّر :: يذل
79, Abash, احرج :: أخجل :: أربك
80, Abashed, أحرج :: أربك :: مرتبك
81, Abashedly, بشكل مخزي :: بشكل محرج
82, Abashes, يحرج :: يربك
83, Abashing, الإحراج :: الإرباك
84, Abashment, الخجل :: الحرج
85, Abasic, متعلق بانتفاء القدرة على المشي
86, Abasing, الإهانة
87, Abatable, قابل للإلغاء
88, Abate, خفّف :: أخمد :: يلغي :: يبطل :: همد
89, Abated, خفّ :: أبطل ::  أخمد
90, Abatement, السّكون :: التخفيض :: التقليل :: انقضاء سقوط الحق
91, Abater, المخفّض :: المقلّل
92, Abates, يخفّف :: يقلل
93, Abating, التقليل :: التّخفيض
94, Abatis, خط الدفاع المتكوّن من الأشجار والأشياء الحادّة لردع العدو
95, Abator, مستغل الأرض بعد وفاة مالكها
96, Abattis, خط الدفاع المتكوّن من الأشجار والأشياء الحادّة لردع العدو
97, Abattoir, المذبح :: المسلخ
98, Abattoirs, المذابح :: المسالخ
99, Abature, الأعشاب و الأعواد التي تداس بالحيوانات عند مرورها عليها
100, Abaxial, بعيد عن المحور
101, Abaxile, بعيد عن المحور
102, Abay, نباح الكلاب
103, Abb, البنك المتّحد للأعمال
104, Abba, الله في النسخة الحديثة للإنجيل :: فرقة آبا السويدية
105, Abbacies, رئاسات الدّير
106, Abbas, عباس
107, Abbatial, متعلق بالدير ودور العبادة
108, Abbatical, مختص بالدير ودور العبادة
109, Abbe, رئيس الدّير
110, Abbess, الرّاهبة الرّئيسة
111, Abbeville, مدينة  أبيفيل
112, Abbey, الدّير :: الكنيسة
113, Abbeys, الأديرة :: الكنائس
114, Abbot, رئيس الدّير
115, Abbots, رؤساء الدّير
116, Abbott, أبوت
117, Abbrev, إختصار لكلمة إختصار
118, Abbreviate, اختصر :: اختزل :: يختصر
119, Abbreviated, مختصر :: مختزل
120, Abbreviates, يختصر :: يختزل
121, Abbreviating, الاختصار :: الإختزال
122, Abbreviation, الاختصار :: الإختزال
123, Abbreviations, الاختصارات :: الإختزالات
124, Abbreviator, المُخْتصر :: المُخْتزل
125, Abbreviatory, إختصاري
126, Abbreviature, الصورة المختصرة :: الموجز
127, Abbyville, مدينة  أبيفيل
128, Abc, الألفباء
129, Abcs, الحالات الإبتدائية لأي مرحلة
130, Abdal, متديّن أو درويش في إيران
131, Abderian, الأحمق
132, Abderite, مواطن من أبديرا
133, Abdi, عبدي :: خادمي
134, Abdicable, قابل للتّنازل عن
135, Abdicate, يتخلى :: يتنازل :: تنحّ
136, Abdicated, تنحّى :: تنازل :: تخلّى عن
137, Abdicates, يتنحّى :: يتنازل :: يتخلّى عن
138, Abdicating, التّنحّي :: التّخلّي :: التّنازل
139, Abdication, التّنازل :: التّخلي
140, Abdicator, المُتنازل :: المُتنحّي
141, Abdiel, عبدالله او عبد للخالق
142, Abditive, امتلاك قدرة الاختباء
143, Abditory, مكان جيد لتخبئة الأشياء
144, Abdomen, البطن :: الجوف
145, Abdomens, البطون
146, Abdominal, بطني :: جوفي
147, Abdominally, بطنياً :: جوفيّاً
148, Abdominous, ذو كرش كبير :: بدين :: بطين
149, Abduce, يُبعد :: ينحي :: نحّى
150, Abduced, أبْعَد :: نحّى
151, Abducens, العضلة المحرّكة للعين
152, Abducent, مُبْعد
153, Abducing, الإبعاد
154, Abduct, اخطف :: يبعد عن :: يخطف
155, Abducted, خطف :: أبعد عن
156, Abducting, الخطف
157, Abduction, الاختطاف :: إبعاد عن
158, Abductions, عمليّات الاختطاف
159, Abductor, المختطف :: المُبْعِد عن
160, Abductors, المختطفون
161, Abducts, يخطف :: يُبْعِد عن
162, Abe, أب
163, Abeam, نحو جانب السّفينة
164, Abear, يتحمّل :: يتصرّف
165, Abearance, التّصرّف
166, Abecedarian, المبتدئ
167, Abecedarius, قصيدة شعرية
168, Abecedary, المبدأ الأوّل أو العضو البدائيّ لأي شيئ
169, Abed, في الفراش :: طريح الفراش
170, Abel, آبيل
171, Abele, نبات الحور الأبيض
172, Abelia, نبات الـ أبيليا
173, Abelian, أبيلايان
174, Abell, مدينة  أبيل
175, Abelson, أبيلسون
176, Abend, نهاية غير متوقعة لعملية من عمليات الكومبيوتر
177, Abercrombie, مدينة  أبيركرومبي
178, Aberdeen, أبردين
179, Aberdevine, عصفور أصفر و أخضر صغير
180, Abernathy, أبيرناثي
181, Aberr, يتّجوّل ::  يتّوه :: ينحرف :: يضل
182, Aberrance, الإنحراف :: الضّلال
183, Aberrancy, الحالة الشّاذّة
184, Aberrant, شاذ :: زائغ :: ضال :: غاو
185, Aberrantly, بشذوذ :: بزيغ :: بضلال
186, Aberrate, الإنحراف عن الطريق السّوي :: الإنحراف عن المتوقّع
187, Aberration, الاضطراب :: الانحراف :: الشذوذ :: الضلال
188, Aberrational, متعلّق بالاضطراب
189, Aberrations, الاضطرابات :: الشّذوذ :: الزّيغ
190, Aberuncate, يتخلّص من
191, Abet, يغري :: يحرّض
192, Abetment, التحريض :: الإغواء
193, Abets, يحرّض :: يُغْوي
194, Abetted, حرّض :: أغوى
195, Abetter, المحرّض :: المُغْوي
196, Abetting, التّحريض :: الإغواء
197, Abettor, المحرّض :: المُغْوي
198, Abeyance, تعليق مؤقت :: توقيف لمدة محدودة
199, Abeyant, معطّل :: معلّق
200, Abhominal, غير إنساني
201, Abhor, يمقُت :: يشمئز من :: يمقُت بشدة
202, Abhored, مَقَتَ :: اشمئزّ من :: كره بشدّة
203, Abhores, يمقُت :: يكره بشدّة :: يشمئز من
204, Abhoring, المَقْت :: الكُرْه :: الإشمئزاز
205, Abhorred, مَقَتَ :: كَره بشدّة :: اشمئزّ من
206, Abhorrence, المَقْت :: الإشمئزاز :: الكُرْه
207, Abhorrent, ممقوت :: كريه :: مشمئز
208, Abhorrently, بشكل ماقت :: بشكل كريه :: بصورة مشمئزّة
209, Abhorrer, الماقت :: الكاره :: المشمئز
210, Abhorrible, كريه
211, Abhorring, المَقْت :: الكُرْه :: الإشمئزاز
212, Abhors, يمقُت :: يكره بشدّة :: يشمئز من
213, Abiathar, أبياثار - ابن أهيميليتش الكاهن الأكبر
214, Abib, أبيب - الشّهر الأوّل من السنة الكنائسيّة اليهوديّة
215, Abid, يستمر :: يبقى ثابتا :: يبقى مع
216, Abidance, التزام :: حرص :: تقيّد
217, Abide, يقيم :: يثبت
218, Abided, أقام :: التزم
219, Abider, الباقي :: الملتزم
220, Abides, يقيم :: يلتزم
221, Abiding, الإقامة :: الإلتزام :: دائم :: ثابت
222, Abidingly, بثبات :: بالتزام
223, Abidjan, أبيدجان
224, Abie, مدينة  أبي
225, Abiel, أبيل -  الإله الأب
226, Abience, الرّغبة في الإنسحاب :: الرّغبة في عدم التّعرض لموقف معيّن
227, Abient, إنسان يتجنّب المواجهة
228, Abies, شجرة الأبيس
229, Abietic, متعلق بشجرة الإبيس
230, Abiezer, مقدّم يد العون
231, Abigail, الجارية :: الوصيفة
232, Abijam, أب البحر
233, Abilene, أبيلين
234, Abilities, القدرات :: المؤهلات
235, Ability, القدرة :: اقتدار :: إمكان :: ملَكَة
236, Abime, الهاوية
237, Abington, مدينة أبينجتون
238, Abiogenesis, التطوّر المفترض للكائنات الحيّة من المادّة الميتة
239, Abiological, متعلّق بدراسة الأشياء الغير حيّة
240, Abirritation, الضّعف :: الوهن
241, Abital, أب النّدى
242, Abitub, أب الطّيبة
243, Abject, مُشفق :: مُذل :: مُقنط
244, Abjection, الحقارة
245, Abjectly, بذلّ :: بوضاعة
246, Abjectness, الإنحطاط :: الذّل
247, Abjudicate, يرفض بطريقة قانونية
248, Abjudication, الرّفض عن طريق القانون
249, Abjugate, يحرر
250, Abjunctive, متميّز :: إستثنائي
251, Abjuration, التّبرّؤ :: إنكار الفعلد السّابق
252, Abjure, انبذ :: تبرّأ من
253, Abjured, نبذ :: تبرّأ من
254, Abjurer, تبرّأ من فعل سابق :: نَبَذَ
255, Abjures, ينبذ :: يتبرّأ من فعل سابق
256, Abjuring, النّبذ :: التبرّؤ من فعل سابق
257, Ablactate, يفطم عن الرّضاعة :: فطم :: يفتصل
258, Ablate, يختفي خلال التّآكل أو التّبخّر
259, Ablated, ذاب :: تبخّر :: إختفى
260, Ablates, يذوب :: يتبخّر :: يختفي
261, Ablating, الذّوبان :: التّبخّر :: الإختفاء
262, Ablation, الاستئصال عن طريق الجراحة
263, Ablative, صيغة الجرّ :: متعلّق بصيغة الجر
264, Ablatively, بشكل إستئصالي
265, Ablaut, الحرف المتحرّك
266, Ablaze, مشتعل :: ملتهب :: متّقِد
267, Able, قادر :: مؤهّل :: القادر :: البارع
268, Able-bodied, يتمتّع بجسم سليم
269, Ablebodied, يتمتّع بجسم سليم
270, Ablegate, ممثّل عن البابا
271, Ableism, التمييز بين الناس بناء على المقدرة الجسمية
272, Ablen, أبلين - سمك نهريّ صغير
273, Ableness, القدرة :: قدرة الجسم او العقل :: قوّة الشّباب :: الحيويّة :: النّشاط
274, Ablepharia, غياب جفون العين
275, Abler, أكثر قدرةً :: أكثر نشاطاً :: أكثر حيويّةً
276, Ablest, الأكثر قدرة :: الأكثر حيوية :: الأكثر نشاط
277, Abligate, يقيّد
278, Abligurition, الإنفاق المفرط على الطّعام
279, Ablins, ربّما
280, Abloom, في حالة إزهار :: متفتّح :: مزدهر
281, Ablude, يختلف عن
282, Abluent, مُنظِّف :: دواء مطهر :: مطهر
283, Ablush, محمر خجلاً
284, Ablution, الوضوء - كما الضوء إستعداداً للصلاة لدى المسلمين
285, Ablutions, الوضوء - كما الضوء إستعداداً للصلاة لدى المسلمين
286, Ably, ببراعة :: بشكل متمكّن
287, Abmho, جرام-سنتيمتر-في الثانية :: وحدة التوصيل الكهربي
288, Abnegate, انكر :: حرم :: رفض :: تخلّى :: تنازل
289, Abnegated, انكر :: حرم :: رفض :: تخلّى :: تنازل
290, Abnegates, ينكر :: يحرم :: يتنازل :: يتخلّى عن
291, Abnegating, الإنكار :: التّخلى :: التّنازل عن
292, Abnegation, الزّهد :: التّنازل :: النّكران :: التّنسّك
293, Abnegator, المُنْكِر :: الزّاهد :: المُتنسّك
294, Abner, أبنر
295, Abnodate, يحل التداخلات والتشابكات
296, Abnormal, شاذّ :: غير طبيعي :: مختلّ العقل
297, Abnormalities, العيوب :: التّصرّفات الشّاذّة :: الغرابة :: التّخلّف :: الحالات الشّاذّة
298, Abnormality, العيب :: الشّذوذ :: الغرابة :: الخروج عن المعهود
299, Abnormally, على نحو شاذّ :: بشكل غير سوي :: بصورة شاذة
300, Abo, أحد السّكّان الأصليّين لأستراليا
301, Aboard, بالدّاخل :: بجانب :: على ظهر المركب :: قرب :: جزء من مجموعة
302, Abode, المنزل :: المسكن :: المقر
303, Abodes, المنازل :: المساكن :: البيوت
304, Aboding, النّذير
305, Abolish, ألغ :: يلغي :: يبطل :: يزيل
306, Abolishable, قابل للإلغاء :: ممكن إبطاله :: ممكن إلغاؤه :: ممكن القضاء عليه
307, Abolished, ألغى :: أبطل :: أزال :: قضى على
308, Abolisher, المبطل :: المُلغي :: القاضي على
309, Abolishes, يلغي :: يُبْطِل :: يقضي على
310, Abolishing, الإلغاء :: الإبطال :: القضاء على
311, Abolishment, الإلغاء :: الإبطال :: القضاء على
312, Abolition, الإلغاء :: الإبطال :: القضاء على
313, Abolitionism, سياسة إبطال الاسترقاق :: الإبطالية :: الإلغائية
314, Abolitionist, مؤيّد القضاء على العنصريّة
315, Abolitionists, المؤيّدون للقضاء على العنصريّة
316, Aboma, أبوما - حيّة كبيرة في جنوب أمريكا
317, Abomasum, القسم الرّابع من معدة حيوان مجتر حيث يتم الهظم
318, Abominable, رديء :: كريه :: بغيض :: مقيت
319, Abominably, بشكل عدائي وحاقد
320, Abominate, اكره :: كره :: مقت :: شائن
321, Abominated, كره :: مقت
322, Abominates, يكره :: يمقت
323, Abominating, الكره :: البغض :: المقت
324, Abomination, المكروه :: شيء بغيض :: شنعة :: استنكار :: فحشاء
325, Abominations, المكروهات :: الشّناعة :: الفحشاء
326, Aboon, فوق الشيء
327, Abor, أبور - أحد لغات كاماربان الغير معروفة
328, Aborad, بعيداً عن الفم
329, Aboral, ببعد عن الفم
330, Abord, يقترب :: يتّصل
331, Aboriginal, أحد السّكّان الأصليّين :: بدائي :: أولي :: أصلي
332, Aboriginally, بدائيا :: أصليا
333, Aborigine, أحد السّكّان الأصليّين في استراليا
334, Aborigines, السّكّان الأصليّين في استراليا
335, Aboriginess, الشعب الأصلي في قارة أستراليا
336, Aborning, أثناء الولادة
337, Abort, اجهض :: أحبط :: يجهض :: يضع حداً :: يوقف عن النمو
338, Aborted, أجهض :: أوقف عن النّمو :: وضع حدّاً
339, Aborter, مُجهض
340, Abortifacient, مصل يسبب الإجهاض
341, Aborting, الإجهاض :: إيقاف النّمو
342, Abortion, الإجهاض :: الإسقاط :: إسقاط الجنين :: الجهيض
343, Abortional, إجهاضي :: متعلّق بالإجهاض او إسقاط الجنين
344, Abortionist, إخصائيّ الإجهاض :: المُجْهض
345, Abortions, الإجهاض :: فشل الخطّة
346, Abortive, فاشل :: حابط :: مخفق :: ناقص
347, Abortively, على نحو فاشل :: بصورة غير مثمرة
348, Abortiveness, الإجهاض :: الإخفاق :: الفشل في إتمام المهمّة
349, Aborts, يجهض :: يتوقّف عن أداء المهمّة
350, Abortus, الجنين البشريّ الملفوظ من قبل رحم الأم
351, Abound, كثّر :: فاض :: يسود :: يغزر :: يكثر
352, Abounded, أكثر في :: ساد :: غزّر
353, Abounding, الكثرة :: متوفّر بكثرة :: غزير
354, Abounds, يُكثر :: يُوفّر :: يُغدق
355, About, تقريبًا :: حوالي :: حول :: زهاء :: عن
356, About-face, الإستدارة 180 درجة :: العدول عن رأي
357, Above, لأعلى :: أعلاه :: فوق :: وراء
358, Above-ground, حيّ يرزق
359, Above-mentioned, المذكور أعلاه
360, Aboveboard, صريح :: جهاراً :: صراحة :: علانية
361, Aboveground, سطحيّ :: حي :: فوق سطح الارض :: موجود
362, Abovementioned, المذكور أعلاه :: السّابق الذِّكر
363, Abovesaid, المذكور أعلاه
364, Abp, رئيس الأساقفة
365, Abr, معدّل سرعة الإتّصال الأوتوماتيكي
366, Abra, المجرى الضّيّق
367, Abracadabra, التّمتمة و الهراء :: تعويذة :: كلام غير مفهوم
368, Abradant, أداة تنعيم كما ورق الصنفرة
369, Abrade, ينكشط :: يفرك بقوّة :: يتوارى :: يضرب :: سحج :: برى :: كشط :: يبري
370, Abraded, انكشط :: حكّ :: ضرب :: برى
371, Abrader, كاشط :: الحاكّ :: الضّارب
372, Abrades, يكشطْ :: يحكّ :: يضرب
373, Abrading, الكشْط :: الحكّ :: الضّرب :: البريْ
374, Abraham, السيد إبراهيم أبو الأنبياء
375, Abrahamitic, متعلّق بإبراهام البطريرك
376, Abraid, يوقض :: ينبّه :: يثير
377, Abram, أبرام
378, Abrams, أبرامز
379, Abramson, أبرامسون
380, Abrase, يتآكل
381, Abrasion, الجرح :: الحك :: السحج :: الكشط
382, Abrasions, الجروح :: التآكلات :: الحك
383, Abrasive, المزيل :: الحاك :: الكاشط :: مادة كاشطة :: وقح
384, Abrasively, بخشونة :: بصورة كاشطة
385, Abrasiveness, الحكّ :: الخشونة :: الكشط
386, Abrasives, المزيلات :: المنظّفات :: الكواشط
387, Abraum, مادة الأبروم
388, Abraxas, تعويذة حظ لدى الفراعنة
389, Abray, يوقض :: ينبّه :: يثير
390, Abreact, حرّر :: إزال العقد :: نفّس :: صرّف :: تفريج نفساني
391, Abreacted, حرّر :: إزال العقد :: نفّس :: صرّف :: فرّج نفسياً
392, Abreacting, تخليص من العقد :: التّصريف النفسي :: التفريج النفسي
393, Abreaction, تحرّر من عقدة نفسيّة :: تفريج نفساني :: تنفيس
394, Abreactions, تحرّر من عقدة نفسيّة :: تفريج نفساني :: تنفيس
395, Abreacts, يحرّر :: ينفّس :: يتحرّر نفسيّاً
396, Abreast, جنبًا إلى جنب :: متمشياً مع :: من جانب واحد
397, Abridge, اختصر :: أوجز :: قصّر :: يختصر :: يقصر :: يقلل من :: حرم :: فصل :: لخّص
398, Abridged, اختصر :: مختصر :: مقصَّر :: ملخص :: موجز
399, Abridgement, الاختصار :: الموجز :: الملخّص
400, Abridgements, الاختصارات ::  الموجز :: الملخّص
401, Abridger, المُلخّص :: المُوجز :: المُقصّر
402, Abridges, يختصر :: يوجز :: يلخّص
403, Abridging, الاختصار :: الإيجاز :: التلخيص
404, Abridgment, الاختصار :: الإيجاز :: الإختزال
405, Abroach, مبزول :: مفتوح :: مثقوب
406, Abroad, بالخارج :: باتساع :: خارج البلاد :: في كل اتجاه :: فوق مساحة واسعة
407, Abrogate, ألغ :: أبطل :: يبطل :: يلغي :: فسخ
408, Abrogated, ألغى :: فسخ :: أبطل
409, Abrogates, يلغي :: يبطل :: يفسخ
410, Abrogating, الإلغاء :: الفسخ :: الإبطال
411, Abrogation, الإلغاء :: الفسخ :: الإبطال :: إنقطاع مفاجيء
412, Abronia, شجيرة الـ أبرونيا
413, Abrupt, مفاجئ :: متقطع :: غير مرتبط :: شديد الإنحدار
414, Abruption, الانقطاع :: توقف مفاجئ
415, Abruptly, فجأةً :: على عجل
416, Abruptness, المفاجأة :: فظاظة :: مباغتة :: عدم ترابط
417, Abrus, شجيرة الـ أربس
418, Abruzzi, منطقة جبليّة في وسط إيطاليا
419, Absalom, أبسالوم - إبن الملك داود
420, Abscess, الدّمّل :: خرّاج
421, Abscessed, مصاب بخرّاج :: فيه خرّاج
422, Abscesses, الدّمامل
423, Abscession, الفصل :: العزل :: الخرّاج :: الإزالة
424, Abscind, يعزل :: يفصل
425, Abscise, يفصل :: يعزل :: يزيل
426, Abscision, الفصل :: العزل :: القطع :: البتر
427, Abscissa, الإحداثيّ السّينيّ
428, Abscissae, الإحداثيات
429, Abscissas, الإحداثيّات السّينيّة
430, Abscission, الفصل :: العزل :: البتر :: القطع :: إنقطاع مفاجيء
431, Abscond, اهرب :: هرب :: فرّ :: فرّ سرّاً :: إستخفى
432, Absconded, هرب :: فرّ :: فرّ سرّاً :: إستخفى
433, Abscondence, الإختباء :: الإخفاء :: الإختفاء سرّاً
434, Absconder, المختفي :: الهارب
435, Absconding, الهروب :: الإختفاء سرّاً
436, Abscondment, الهروب خفية :: الإختفاء
437, Absconds, يهرب سرّاً :: يختفي
438, Absence, الغياب :: انعدام :: فقدان :: شرود
439, Absences, الغياب :: انعدام :: فقدان :: شرود
440, Absent, غائب :: مفقود :: غير موجود :: معدوم
441, Absent-minded, شارد الذّهن :: المذهول :: مشغول البال
442, Absent-mindedly, بذهن شارد :: ببال مشغول :: بذهول
443, Absented, غاب عن
444, Absentee, الغائب :: المتغيّب
445, Absenteeism, الغياب :: التغرب :: التغيب :: حالة التّغيّب عن العمل او أداء الواجب
446, Absentees, الغائبون :: المتغيّبون
447, Absentia, عن غيب كما النّطق بالحكم والمتّهم غير حاضر
448, Absenting, الغياب :: عدم الحضور او الظّهور
449, Absently, بذهول :: بذهن شارد
450, Absentminded, شارد الذّهن :: تائه :: غافل
451, Absentmindedly, بذهول :: بذهن شارد :: بتيه
452, Absentmindedness, الشّرود :: الذهول السهو :: العقل الشّارد
453, Absents, يغيب :: لايظهر :: لايحضر
454, Abset, أبسيت - لغة للبرمجة
455, Absinth, نبات الأبسنث
456, Absinthe, شراب مسكر :: نبتة تستعمل كعقار طبّي
457, Absinthium, نبات الأبسنث
458, Absis, القبا :: جزء ناتيء مزخرف :: مبنى نصف دائري
459, Absist, يقف بعيداً عن :: يغادر :: يقلع عن :: يتخلّى عن
460, Absolute, مطلق :: حتمي :: خالص :: كامل :: مُطبق
461, Absolutely, تماماً :: إطلاقاً :: تماماً :: حتماً :: على نحو جازم
462, Absoluteness, الحقيقة المطلقة
463, Absolution, الغفران :: إعفاء :: حل من واجب :: تبرئة
464, Absolutism, الاستبداد :: حكم ديكتاتوري مطلق :: نظريّة سياسيّة
465, Absolutist, المستبدّ :: الطّاغية :: المؤيّد للإستبداد
466, Absolutory, إعفائي :: غفراني
467, Absolvable, قابل للغفران :: قابل للتّبرئة او العفو
468, Absolve, أعف :: برأ :: يبرئ :: يحلل :: غفر
469, Absolved, أعفى :: برّأ :: غفر :: حلّل
470, Absolver, المبرئ :: العافي عن :: الغافر
471, Absolves, يعفي :: يبرّيء :: يغفر
472, Absolving, الإعفاء :: الغفران :: التّبرأة
473, Absonous, نشاز :: متضارب :: متنافر النغمات :: متعارض
474, Absorb, امتصّ :: تشرّب :: يتشرب :: يمتص
475, Absorbability, قابليّة الامتصاص :: الامتصاصية :: التشربية
476, Absorbable, قابل للامتصاص :: قابل للتشرب
477, Absorbed, امتصّ :: تشرّب :: مستغرق :: منهمك
478, Absorbedly, بانشغال :: بانهماك
479, Absorbency, القدرة على التشرب :: ممتصية
480, Absorbent, ممتصّ :: ماص :: نشاف
481, Absorbents, الأعضاء الماصة :: المواد القابلة للإمتصاص
482, Absorber, الممتصّ :: مادة تقوم على إمتصاص الإشعاع النووي في المفاعل الذّري
483, Absorbing, مشوّق :: مستحوذ عليه :: مستغرق للاهتمام
484, Absorbingly, بصورة قابلة للامتصاص :: بصورة شادّة للإنتباه
485, Absorbition, الانهماك :: استغراق :: استيعاب :: امتصاص :: انشغال
486, Absorbs, يمتصّ :: يستوعب :: يتحمّل تكاليف
487, Absorptance, قياس لمعدّل انخفاض الإشعاع الكهرومغناطيسي
488, Absorption, الانهماك :: عمليّة كيميائيّة حيث تقوم مادّة بتخلل مادّة اخرى :: الإمتصاص :: الإستيعاب
489, Absorptive, ماصّ :: ذو قدرة او خاصّية لإمتصاص السّوائل
490, Absorptiveness, صفة الكائن ذو الخاصّيّة الماصّة للسوائل او المستوعبة
491, Absquatulate, سرق شيئاً وفرّ هارباً
492, Abstain, امتنع :: يمتنع :: ينفك
493, Abstained, امتنع عن تناول كذا وكذا :: امتنع عن التّصويت
494, Abstainer, الممتنع عن تناول كذا وكذا :: محجم :: ممتنع :: ممسك
495, Abstaining, الامتناع عن :: الإحجام عن
496, Abstains, يمتنع عن تناول كذا وكذا :: يمتنع عن التّصويت
497, Abstemious, متقشّف :: متعفف :: متقلل
498, Abstemiously, بصورة متقشّفة :: بتعفّف
499, Abstemiousness, الزّهد :: التّقشّف :: التّعفّف
500, Abstention, الامتناع :: إقلاع عن :: إمساك :: انقطاع :: زهد
501, Abstentions, الامتناع :: إقلاع عن :: إمساك :: انقطاع :: زهد
502, Abstentious, ممتنع :: امتناعي :: إمساكي
503, Absterge, طهّر :: يطهر :: ينظف
504, Abstergent, المادّة المنظّفة :: مطهر
505, Abstersion, التنظيف :: التطهير
506, Abstersive, منظّف :: مطهّر
507, Abstinence, التّقشّف :: تعفف :: عفّة
508, Abstinency, التّقشّف :: التّعفّف :: العفّة
509, Abstinent, متقشّف :: متعفّف
510, Abstinently, بتقشّف :: بتعفّف
511, Abstract, الخلاصة :: تجريدي :: مثالي :: مجرد
512, Abstracted, مذهول :: شارد الذهن
513, Abstractedly, على نحو شارد :: بذهول :: بشرود ذهن
514, Abstractedness, الشّرود :: التّركيز على شيئ معيّن ونسيان كل شيئ اخر
515, Abstracter, المُلخِّص :: المُختزل :: القائم على عمليّة الإختصار
516, Abstracting, التّلخيص :: الإزالة :: العزل
517, Abstraction, الفكرة المجرّدة :: تجريد :: اختلاس :: تلخيص :: شرود الذهن
518, Abstractionism, التّجريديّة :: عرض الشيئ بدون الإستدلال بأي مرجع
519, Abstractionist, متخصص في الفن التّجريدي
520, Abstractions, الأفكار المجرّدة :: الاختلاس :: التجريد :: تجريد الفكرة :: التلخيص :: الذهول
521, Abstractive, تجرّديّ :: تلخيصي
522, Abstractly, على نحو تجرّديّ :: بصورة تجريدية :: من وجهة نظرية
523, Abstractness, التّجريديّة :: التّجرّد
524, Abstractor, القائم على تلخيص المعلومات او الوثائق
525, Abstracts, الخلاصة :: يلخّص :: يجرّد :: يختلس
526, Abstruse, صعب :: عميق :: عويص :: مبهم
527, Abstrusely, بصعوبة
528, Abstruseness, الصّعوبة :: عدم الوضوح
529, Absumption, الإستهلاك :: اندثار :: فناء :: إخماد :: إطفاء :: انقراض
530, Absurd, أحمق :: باطل :: لامعقول
531, Absurdities, السّخف :: الحماقة
532, Absurdity, السّخف :: حماقة :: سخافة
533, Absurdly, بصورة غير طبيعيّة :: بسخف :: بحماقة
534, Absurdness, السّخف :: منافاة العقل
